id,rate,votes,cuisine
3015,3.3,55,South Indian
3204,3.7,28,South Indian
1772,4.0,334,South Indian
842,3.2,9,North Indian
9298,3.9,178,South Indian
6373,3.7,27,South Indian
12598,,0,North Indian
3280,3.3,10,South Indian
46082,3.7,59,Chinese
17913,3.7,21,Mithai
26172,3.5,30,South Indian
23418,3.2,123,Kerala
41029,2.9,25,South Indian
7498,3.4,8,Biryani
242,3.3,4,South Indian
461,,0,South Indian
2391,3.4,6,Mithai
40616,,0,Mithai
4410,,0,Mithai
241,,0,Fast Food
6527,,0,Kebab
4013,3.6,14,Arabian
16766,3.5,40,North Indian
3526,3.4,9,Fast Food
2482,3.8,267,North Indian
9821,3.5,16,North Indian
18485,4.0,592,Continental
22552,4.0,377,Continental
20310,,0,Chinese
22177,,0,Chinese
12442,,0,Chinese
32692,,0,South Indian
43022,3.7,61,North Indian
6187,3.6,13,Beverages
2907,2.8,76,North Indian
16252,3.4,9,Healthy Food
22149,3.2,9,North Indian
7482,,0,Biryani
5588,,0,Kebab
2620,,0,Fast Food
5563,,0,North Indian
22503,4.2,783,Mediterranean
4541,4.0,868,South Indian
29468,,0,South Indian
41035,3.3,6,Chinese
19022,,0,Finger Food
6957,2.9,59,Chinese
42075,3.6,24,Mithai
5569,,0,South Indian
2158,,0,South Indian
48533,,0,North Indian
4247,3.9,42,Biryani
1122,,0,North Indian
962,3.9,72,North Indian
18433,3.6,41,North Indian
18568,4.0,136,South Indian
1218,3.8,42,North Indian
49081,3.7,20,South Indian
5,,0,South Indian
2921,,0,North Indian
4238,3.6,20,Biryani
46030,4.0,336,North Indian
4992,3.1,38,Biryani
24454,3.2,4,South Indian
7370,3.4,29,North Indian
5499,3.2,13,South Indian
46294,,0,Andhra
843,,0,Mithai
42259,4.2,258,Modern Indian
5708,,0,North Indian
21889,,0,North Indian
21971,4.0,74,Cafe
2901,4.4,1413,Middle Eastern
22067,3.7,16,Rolls
22008,,0,Arabian
7903,,0,North Indian
23415,3.6,20,Arabian
3776,4.2,567,North Indian
736,3.3,12,Biryani
23196,,0,Mughlai
22080,,0,Biryani
6659,3.5,17,North Indian
4528,3.5,17,North Indian
32584,3.3,9,Biryani
46346,,0,Chinese
21897,3.7,90,Mughlai
900,,0,Lebanese
4163,3.9,370,Biryani
5393,3.0,13,North Indian
21908,3.4,6,North Indian
3322,,0,North Indian
22729,3.6,16,Biryani
33998,,0,South Indian
6733,3.8,22,North Indian
48184,3.9,185,North Indian
5176,3.5,31,Mughlai
10714,3.1,12,North Indian
48249,3.2,4,Fast Food
5200,3.5,14,Chinese
23063,,0,Arabian
23009,4.2,89,Arabian
5397,,0,Biryani
41807,3.2,25,Kebab
3095,3.6,113,North Indian
3151,3.9,169,Biryani
4113,3.6,208,Biryani
48175,4.1,371,Mughlai
41477,4.1,935,Mughlai
18193,3.6,118,Biryani
48717,4.1,568,Mughlai
8593,3.6,133,Biryani
20787,,0,Biryani
39829,3.9,52,Biryani
11226,3.9,682,North Indian
5231,,0,North Indian
17312,,0,Rolls
29232,,0,Biryani
5879,3.3,8,North Indian
897,3.4,22,Arabian
4932,,0,Arabian
6645,,0,Kebab
23347,,0,Chinese
6933,,0,Chinese
23204,,0,Biryani
48174,4.0,314,North Indian
41926,3.4,9,South Indian
3263,3.7,42,Chinese
42886,,0,South Indian
3738,3.9,255,Andhra
14109,4.5,583,Italian
5803,4.3,346,Bakery
12954,4.3,446,Modern Indian
2312,4.2,737,Cafe
6396,,0,North Indian
899,3.0,27,North Indian
42121,3.7,77,Continental
22188,,0,Rolls
41596,3.4,5,Chinese
21883,2.9,56,Arabian
4144,3.9,450,Arabian
14990,1.8,224,North Indian
4879,3.6,11,Juices
41621,,0,North Indian
4854,3.6,27,North Indian
8662,4.4,568,North Indian
2792,4.4,98,North Indian
21362,,0,North Indian
1006,,0,Fast Food
2572,,0,North Indian
5258,,0,North Indian
11323,3.6,23,Bakery
19023,,0,North Indian
20332,3.6,34,Desserts
15483,3.9,77,Desserts
41966,3.6,19,Desserts
17531,2.9,46,North Indian
12087,3.3,4,North Indian
1107,4.0,63,Italian
17394,3.3,387,Biryani
40811,4.1,821,Finger Food
3139,3.8,229,North Indian
41937,3.3,6,North Indian
22614,3.8,140,Cafe
22706,4.3,263,Italian
12369,,0,North Indian
7570,,0,Fast Food
1704,3.4,6,Beverages
2606,3.3,8,Chinese
21863,,0,Desserts
7280,,0,North Indian
1202,4.0,73,Bakery
4372,4.2,231,Bakery
17801,3.8,107,North Indian
49064,3.2,15,North Indian
17619,3.2,4,Bengali
6404,3.3,4,South Indian
2056,,0,Andhra
2045,,0,Andhra
12577,3.7,43,North Indian
513,,0,Chinese
2441,3.6,108,Andhra
5247,3.6,39,North Indian
1287,,0,Andhra
42953,3.5,93,South Indian
19576,3.0,148,Andhra
20947,3.4,6,Kerala
6087,3.4,7,Chinese
30360,,0,Ice Cream
42291,3.4,10,Finger Food
405,,0,North Indian
4619,3.8,256,Andhra
46239,2.7,57,North Indian
22680,3.9,140,North Indian
4887,,0,Italian
12151,4.1,93,Continental
48479,3.5,37,Biryani
42379,3.7,31,North Indian
23410,3.5,20,South Indian
6167,3.2,6,North Indian
19348,3.5,41,Biryani
46583,,0,Biryani
17629,3.2,4,Biryani
7267,3.3,6,Biryani
1217,3.3,136,Biryani
6393,3.6,26,Biryani
23191,,0,Biryani
7599,3.5,17,Biryani
4704,,0,Biryani
5716,,0,Biryani
23239,,0,Biryani
9239,3.2,5,South Indian
41263,,0,Biryani
13175,3.2,13,Biryani
32067,3.4,18,Biryani
8128,3.3,8,Biryani
1689,4.2,424,Biryani
42186,,0,Biryani
2180,,0,Biryani
12935,3.1,9,Biryani
41644,3.2,24,Biryani
7337,3.0,11,Biryani
3948,3.4,12,Biryani
19410,3.1,10,Biryani
2327,3.3,5,Biryani
2265,,0,Biryani
41245,,0,Biryani
5183,,0,Biryani
46575,,0,Biryani
2350,,0,Biryani
6473,,0,Biryani
17541,3.2,5,Biryani
5578,,0,Biryani
23533,,0,Biryani
22831,,0,Biryani
42422,,0,Biryani
17576,,0,Biryani
7605,3.1,6,Biryani
747,,0,Biryani
20887,,0,Biryani
14473,3.1,43,Biryani
29217,3.3,8,Biryani
597,3.0,13,Biryani
6892,3.5,21,Biryani
12498,3.1,6,Biryani
5711,3.2,6,Biryani
44101,3.0,9,Biryani
7161,,0,South Indian
23697,,0,Biryani
43860,,0,Biryani
8049,3.5,22,Biryani
3890,3.7,17,North Indian
2992,2.8,227,Biryani
11872,3.7,118,Biryani
9982,3.5,383,Biryani
15988,3.3,4,Biryani
34347,,0,Biryani
2663,3.4,17,Biryani
7957,,0,Biryani
12962,3.2,4,Biryani
19686,,0,Biryani
42757,3.8,38,North Indian
15204,4.0,47,Tibetan
28356,3.0,7,Fast Food
50999,3.7,21,Fast Food
4344,3.0,4,Pizza
3720,2.4,48,Fast Food
22358,3.6,23,Desserts
18993,3.8,31,American
23467,3.7,64,Chinese
4877,,0,North Indian
615,,0,South Indian
39401,,0,Kerala
40553,,0,Kerala
22077,,0,Biryani
9236,3.2,6,Fast Food
46372,3.9,54,Bakery
22309,3.9,130,Bakery
16611,4.2,245,Bakery
8161,3.6,11,Desserts
47516,4.0,120,Bakery
1196,3.9,95,Bakery
11465,4.1,146,Bakery
41983,4.2,217,Bakery
6032,4.0,98,Bakery
48604,3.8,56,Bakery
2209,3.8,60,Bakery
17814,4.0,74,Bakery
7853,4.0,102,Bakery
8244,4.2,434,Bakery
29261,,0,South Indian
49112,,0,South Indian
9031,3.5,6,Kerala
5848,,0,Kerala
9182,2.8,114,Biryani
469,2.1,342,Biryani
16651,2.7,231,Biryani
7149,2.4,392,Biryani
7152,2.7,77,Biryani
5167,2.8,43,Biryani
40402,2.5,131,Biryani
22717,2.7,171,Biryani
3704,3.4,84,North Indian
15046,3.7,15,North Indian
20482,3.9,568,Continental
2022,3.9,438,Bengali
7945,4.0,82,Cafe
6188,3.1,6,North Indian
12731,3.4,24,North Indian
46355,3.2,4,Mithai
42017,4.1,81,Ice Cream
42866,,0,North Indian
3088,3.9,104,North Indian
2224,4.0,260,North Indian
39123,3.5,250,North Indian
38495,3.8,20,South Indian
39736,3.5,54,North Indian
44094,,0,South Indian
4415,3.2,204,North Indian
40541,,0,Andhra
6092,3.4,5,Kerala
13185,,0,South Indian
11514,4.1,116,Street Food
18072,3.7,36,Street Food
30365,3.5,13,Street Food
9324,,0,Desserts
16841,4.1,701,Cafe
22554,4.0,241,Cafe
21979,,0,Fast Food
19817,3.2,4,North Indian
9220,,0,North Indian
1507,3.6,45,Biryani
1785,3.3,6,South Indian
5607,4.2,267,Mithai
1844,4.2,1076,Mithai
149,3.9,84,Mithai
14630,4.0,261,Mithai
1444,3.7,46,Mithai
13210,4.0,183,Mithai
22315,4.0,99,Mithai
5831,3.9,42,Mithai
6541,4.1,131,Mithai
5688,2.5,58,North Indian
1228,3.4,89,North Indian
2529,3.2,64,North Indian
17938,3.2,14,North Indian
46186,3.4,8,Fast Food
14438,3.6,133,Biryani
40054,3.6,24,South Indian
24335,3.1,22,Biryani
17897,3.5,30,Fast Food
10813,2.8,60,North Indian
21829,3.3,117,North Indian
29819,3.7,73,North Indian
40504,3.1,8,North Indian
5337,3.0,21,Fast Food
